image,codec,bytes,bpp,enc_ms,dec_ms
kodim01,obsidian-gr,512186,10.4205,313.52,132.85
kodim18,obsidian-r3c-run-safnet+xchan,576200,11.7228,539.11,143.87
kodim02,obsidian-gr,457043,9.2986,284.63,126.58
kodim19,obsidian-r3c-run-safnet+xchan,485706,9.8817,449.52,128.70
kodim03,obsidian-gr,382698,7.7860,269.00,110.21
kodim20,obsidian-r3c-run-safnet+xchan,376966,7.6694,370.59,104.66
kodim04,obsidian-gr,471172,9.5860,274.80,126.76
kodim21,obsidian-r3c-run-safnet+xchan,491209,9.9937,466.46,129.74
kodim05,obsidian-gr,565716,11.5095,306.76,144.55
kodim06,obsidian-gr,474540,9.6545,277.90,135.44
kodim22,obsidian-r3c-run-safnet+xchan,536857,10.9224,478.37,140.87
kodim07,obsidian-gr,425784,8.6626,295.46,129.66
kodim23,obsidian-r3c-run-safnet+xchan,433886,8.8274,436.61,124.01
kodim08,obsidian-gr,562116,11.4363,311.46,141.90
kodim24,obsidian-r3c-run-safnet+xchan,506075,10.2961,470.22,133.63
kodim09,obsidian-gr,437880,8.9087,274.72,121.89
kodim10,obsidian-gr,449464,9.1444,275.82,124.66
kodim11,obsidian-gr,460359,9.3660,314.07,126.96
kodim12,obsidian-gr,410831,8.3584,286.27,117.36
kodim13,obsidian-gr,611009,12.4310,315.35,151.03
kodim14,obsidian-gr,515896,10.4959,317.79,144.25
kodim15,obsidian-gr,445139,9.0564,270.45,119.83
kodim16,obsidian-gr,423363,8.6133,294.44,116.36
kodim17,obsidian-gr,441529,8.9829,281.87,123.84
kodim18,obsidian-gr,576200,11.7228,323.85,145.36
kodim19,obsidian-gr,485706,9.8817,278.43,132.18
kodim20,obsidian-gr,376966,7.6694,235.41,104.45
kodim21,obsidian-gr,491209,9.9937,290.91,127.49
kodim22,obsidian-gr,536857,10.9224,297.65,141.18
kodim23,obsidian-gr,433886,8.8274,280.46,121.28
kodim24,obsidian-gr,506075,10.2961,294.15,133.69
kodim01,obsidian-cmarc-safnet,512186,10.4205,303.51,134.54
kodim02,obsidian-cmarc-safnet,457043,9.2986,290.80,126.73
kodim03,obsidian-cmarc-safnet,382698,7.7860,271.88,111.79
kodim04,obsidian-cmarc-safnet,471172,9.5860,304.22,126.15
kodim05,obsidian-cmarc-safnet,565716,11.5095,311.21,144.06
kodim06,obsidian-cmarc-safnet,474540,9.6545,276.83,138.53
kodim07,obsidian-cmarc-safnet,425784,8.6626,280.26,117.57
kodim08,obsidian-cmarc-safnet,562116,11.4363,296.29,140.04
kodim09,obsidian-cmarc-safnet,437880,8.9087,274.72,122.36
kodim10,obsidian-cmarc-safnet,449464,9.1444,264.20,121.48
kodim11,obsidian-cmarc-safnet,460359,9.3660,305.08,130.14
kodim12,obsidian-cmarc-safnet,410831,8.3584,281.95,116.00
kodim13,obsidian-cmarc-safnet,611009,12.4310,301.98,147.34
kodim14,obsidian-cmarc-safnet,515896,10.4959,303.75,133.93
kodim15,obsidian-cmarc-safnet,445139,9.0564,286.68,129.04
kodim16,obsidian-cmarc-safnet,423363,8.6133,284.54,115.82
kodim17,obsidian-cmarc-safnet,441529,8.9829,276.54,119.61
kodim18,obsidian-cmarc-safnet,576200,11.7228,300.03,144.81
kodim19,obsidian-cmarc-safnet,485706,9.8817,268.40,126.16
kodim20,obsidian-cmarc-safnet,376966,7.6694,233.72,103.97
kodim21,obsidian-cmarc-safnet,491209,9.9937,288.28,127.50
kodim22,obsidian-cmarc-safnet,536857,10.9224,291.52,143.60
kodim23,obsidian-cmarc-safnet,433886,8.8274,271.66,123.29
kodim24,obsidian-cmarc-safnet,506075,10.2961,292.38,135.14
kodim01,obsidian-cmarc-safnet+xchan,512186,10.4205,314.56,140.42
kodim02,obsidian-cmarc-safnet+xchan,457043,9.2986,289.53,123.46
kodim03,obsidian-cmarc-safnet+xchan,382698,7.7860,284.84,115.85
kodim04,obsidian-cmarc-safnet+xchan,471172,9.5860,300.91,128.38
kodim05,obsidian-cmarc-safnet+xchan,565716,11.5095,324.65,142.85
kodim06,obsidian-cmarc-safnet+xchan,474540,9.6545,272.85,124.45
kodim07,obsidian-cmarc-safnet+xchan,425784,8.6626,277.23,118.17
kodim08,obsidian-cmarc-safnet+xchan,562116,11.4363,312.01,147.36
kodim09,obsidian-cmarc-safnet+xchan,437880,8.9087,283.60,124.50
kodim10,obsidian-cmarc-safnet+xchan,449464,9.1444,270.44,121.45
kodim11,obsidian-cmarc-safnet+xchan,460359,9.3660,316.44,130.80
kodim12,obsidian-cmarc-safnet+xchan,410831,8.3584,288.78,114.93
kodim13,obsidian-cmarc-safnet+xchan,611009,12.4310,324.13,148.37
kodim14,obsidian-cmarc-safnet+xchan,515896,10.4959,307.65,135.46
kodim15,obsidian-cmarc-safnet+xchan,445139,9.0564,269.95,118.92
kodim16,obsidian-cmarc-safnet+xchan,423363,8.6133,298.22,121.04
kodim17,obsidian-cmarc-safnet+xchan,441529,8.9829,288.49,137.11
kodim18,obsidian-cmarc-safnet+xchan,576200,11.7228,316.25,154.76
kodim19,obsidian-cmarc-safnet+xchan,485706,9.8817,286.95,132.29
kodim20,obsidian-cmarc-safnet+xchan,376966,7.6694,239.85,102.88
kodim21,obsidian-cmarc-safnet+xchan,491209,9.9937,296.75,127.38
kodim22,obsidian-cmarc-safnet+xchan,536857,10.9224,287.26,136.27
kodim23,obsidian-cmarc-safnet+xchan,433886,8.8274,267.93,118.01
kodim24,obsidian-cmarc-safnet+xchan,506075,10.2961,305.39,139.95
kodim01,obsidian-cmarc-force,512186,10.4205,304.65,133.76
kodim02,obsidian-cmarc-force,457043,9.2986,298.19,128.08
kodim03,obsidian-cmarc-force,382698,7.7860,278.74,114.31
kodim04,obsidian-cmarc-force,471172,9.5860,290.67,125.27
kodim05,obsidian-cmarc-force,565716,11.5095,313.57,141.35
kodim06,obsidian-cmarc-force,474540,9.6545,286.07,127.04
kodim07,obsidian-cmarc-force,425784,8.6626,297.82,121.11
kodim08,obsidian-cmarc-force,562116,11.4363,310.35,142.29
kodim09,obsidian-cmarc-force,437880,8.9087,284.10,118.19
kodim10,obsidian-cmarc-force,449464,9.1444,264.50,128.26
kodim11,obsidian-cmarc-force,460359,9.3660,290.89,119.59
kodim12,obsidian-cmarc-force,410831,8.3584,280.56,116.65
kodim13,obsidian-cmarc-force,611009,12.4310,321.62,155.77
kodim14,obsidian-cmarc-force,515896,10.4959,317.16,135.10
kodim15,obsidian-cmarc-force,445139,9.0564,277.89,120.45
kodim16,obsidian-cmarc-force,423363,8.6133,303.29,118.58
kodim17,obsidian-cmarc-force,441529,8.9829,278.44,122.73
kodim18,obsidian-cmarc-force,576200,11.7228,299.50,142.40
kodim19,obsidian-cmarc-force,485706,9.8817,274.82,127.06
kodim20,obsidian-cmarc-force,376966,7.6694,232.89,103.46
kodim21,obsidian-cmarc-force,491209,9.9937,289.95,127.86
kodim22,obsidian-cmarc-force,536857,10.9224,289.03,136.37
kodim23,obsidian-cmarc-force,433886,8.8274,274.07,120.24
kodim24,obsidian-cmarc-force,506075,10.2961,291.09,133.94
kodim01,obsidian-cmarc-force+resctx,512186,10.4205,560.79,132.19
kodim02,obsidian-cmarc-force+resctx,457043,9.2986,542.88,123.80
kodim03,obsidian-cmarc-force+resctx,382698,7.7860,501.22,111.48
kodim04,obsidian-cmarc-force+resctx,471172,9.5860,533.19,125.54
kodim05,obsidian-cmarc-force+resctx,565716,11.5095,585.06,140.90
kodim06,obsidian-cmarc-force+resctx,474540,9.6545,530.17,123.42
kodim07,obsidian-cmarc-force+resctx,425784,8.6626,521.32,117.63
kodim08,obsidian-cmarc-force+resctx,562116,11.4363,578.47,137.07
kodim09,obsidian-cmarc-force+resctx,437880,8.9087,522.91,117.92
kodim10,obsidian-cmarc-force+resctx,449464,9.1444,515.59,121.14
kodim11,obsidian-cmarc-force+resctx,460359,9.3660,537.97,122.16
kodim12,obsidian-cmarc-force+resctx,410831,8.3584,512.53,113.00
kodim13,obsidian-cmarc-force+resctx,611009,12.4310,593.19,147.51
kodim14,obsidian-cmarc-force+resctx,515896,10.4959,567.19,133.34
kodim15,obsidian-cmarc-force+resctx,445139,9.0564,514.25,119.73
kodim16,obsidian-cmarc-force+resctx,423363,8.6133,521.47,115.15
kodim17,obsidian-cmarc-force+resctx,441529,8.9829,520.87,120.30
kodim18,obsidian-cmarc-force+resctx,576200,11.7228,601.21,145.18
kodim19,obsidian-cmarc-force+resctx,485706,9.8817,538.81,129.01
kodim20,obsidian-cmarc-force+resctx,376966,7.6694,448.06,103.18
kodim21,obsidian-cmarc-force+resctx,491209,9.9937,549.20,127.03
kodim22,obsidian-cmarc-force+resctx,536857,10.9224,573.46,142.49
kodim23,obsidian-cmarc-force+resctx,433886,8.8274,536.63,123.79
kodim24,obsidian-cmarc-force+resctx,506075,10.2961,578.80,146.98
kodim01,obsidian-r3c-run-force,513267,10.4424,492.09,163.17
kodim02,obsidian-r3c-run-force,457743,9.3128,461.37,151.65
kodim03,obsidian-r3c-run-force,386688,7.8672,434.03,137.64
kodim04,obsidian-r3c-run-force,472551,9.6141,451.18,153.98
kodim05,obsidian-r3c-run-force,566445,11.5244,511.11,174.47
kodim06,obsidian-r3c-run-force,475327,9.6706,467.58,156.20
kodim07,obsidian-r3c-run-force,428600,8.7199,475.77,143.30
kodim08,obsidian-r3c-run-force,562984,11.4539,489.95,164.81
kodim09,obsidian-r3c-run-force,438797,8.9273,432.85,141.95
kodim10,obsidian-r3c-run-force,450372,9.1628,425.28,142.32
kodim11,obsidian-r3c-run-force,463681,9.4336,445.59,143.26
kodim12,obsidian-r3c-run-force,413419,8.4110,422.59,133.57
kodim13,obsidian-r3c-run-force,611613,12.4433,489.19,171.80
kodim14,obsidian-r3c-run-force,516901,10.5164,470.83,155.73
kodim15,obsidian-r3c-run-force,447346,9.1013,424.61,140.85
kodim16,obsidian-r3c-run-force,425793,8.6628,442.55,135.12
kodim17,obsidian-r3c-run-force,443305,9.0191,433.23,140.84
kodim18,obsidian-r3c-run-force,576646,11.7319,500.26,170.65
kodim19,obsidian-r3c-run-force,486311,9.8940,440.84,150.18
kodim20,obsidian-r3c-run-force,378379,7.6981,360.04,117.98
kodim21,obsidian-r3c-run-force,492055,10.0109,451.02,149.75
kodim22,obsidian-r3c-run-force,537322,10.9318,470.43,159.01
kodim23,obsidian-r3c-run-force,435369,8.8576,424.18,141.30
kodim24,obsidian-r3c-run-force,507501,10.3251,461.75,154.59
kodim01,obsidian-r3c-run-safnet,512186,10.4205,464.57,131.31
kodim02,obsidian-r3c-run-safnet,457043,9.2986,446.38,122.66
kodim03,obsidian-r3c-run-safnet,382698,7.7860,411.11,108.95
kodim04,obsidian-r3c-run-safnet,471172,9.5860,438.14,125.82
kodim05,obsidian-r3c-run-safnet,565716,11.5095,488.13,141.83
kodim06,obsidian-r3c-run-safnet,474540,9.6545,436.28,121.62
kodim07,obsidian-r3c-run-safnet,425784,8.6626,435.89,119.07
kodim08,obsidian-r3c-run-safnet,562116,11.4363,491.25,140.43
kodim09,obsidian-r3c-run-safnet,437880,8.9087,432.37,119.93
kodim10,obsidian-r3c-run-safnet,449464,9.1444,427.97,121.28
kodim11,obsidian-r3c-run-safnet,460359,9.3660,443.94,124.11
kodim12,obsidian-r3c-run-safnet,410831,8.3584,422.65,111.04
kodim13,obsidian-r3c-run-safnet,611009,12.4310,494.10,147.96
kodim14,obsidian-r3c-run-safnet,515896,10.4959,471.03,129.83
kodim15,obsidian-r3c-run-safnet,445139,9.0564,426.68,117.82
kodim16,obsidian-r3c-run-safnet,423363,8.6133,435.24,114.46
kodim17,obsidian-r3c-run-safnet,441529,8.9829,438.97,119.95
kodim18,obsidian-r3c-run-safnet,576200,11.7228,483.02,142.22
kodim19,obsidian-r3c-run-safnet,485706,9.8817,440.14,127.45
kodim20,obsidian-r3c-run-safnet,376966,7.6694,361.64,103.75
kodim21,obsidian-r3c-run-safnet,491209,9.9937,460.77,126.93
kodim22,obsidian-r3c-run-safnet,536857,10.9224,473.31,136.53
kodim23,obsidian-r3c-run-safnet,433886,8.8274,449.41,118.04
kodim24,obsidian-r3c-run-safnet,506075,10.2961,462.30,132.89
kodim01,obsidian-r3c-run-safnet+xchan,512186,10.4205,466.01,131.01
kodim02,obsidian-r3c-run-safnet+xchan,457043,9.2986,443.61,122.40
kodim03,obsidian-r3c-run-safnet+xchan,382698,7.7860,404.75,107.68
kodim04,obsidian-r3c-run-safnet+xchan,471172,9.5860,450.35,142.26
kodim05,obsidian-r3c-run-safnet+xchan,565716,11.5095,509.55,145.56
kodim06,obsidian-r3c-run-safnet+xchan,474540,9.6545,465.16,124.05
kodim07,obsidian-r3c-run-safnet+xchan,425784,8.6626,439.18,119.61
kodim08,obsidian-r3c-run-safnet+xchan,562116,11.4363,487.39,150.72
kodim09,obsidian-r3c-run-safnet+xchan,437880,8.9087,432.43,120.18
kodim10,obsidian-r3c-run-safnet+xchan,449464,9.1444,428.09,121.99
kodim11,obsidian-r3c-run-safnet+xchan,460359,9.3660,472.20,130.26
kodim12,obsidian-r3c-run-safnet+xchan,410831,8.3584,432.41,113.84
kodim13,obsidian-r3c-run-safnet+xchan,611009,12.4310,498.56,148.39
kodim14,obsidian-r3c-run-safnet+xchan,515896,10.4959,471.46,132.96
kodim15,obsidian-r3c-run-safnet+xchan,445139,9.0564,427.20,120.10
kodim16,obsidian-r3c-run-safnet+xchan,423363,8.6133,436.85,117.39
kodim17,obsidian-r3c-run-safnet+xchan,441529,8.9829,447.10,127.02
kodim18,obsidian-r3c-run-safnet+xchan,576200,11.7228,494.63,150.08
kodim19,obsidian-r3c-run-safnet+xchan,485706,9.8817,444.55,126.66
kodim20,obsidian-r3c-run-safnet+xchan,376966,7.6694,376.79,107.80
kodim21,obsidian-r3c-run-safnet+xchan,491209,9.9937,480.65,132.85
kodim22,obsidian-r3c-run-safnet+xchan,536857,10.9224,501.82,148.96
kodim23,obsidian-r3c-run-safnet+xchan,433886,8.8274,443.29,127.61
kodim24,obsidian-r3c-run-safnet+xchan,506075,10.2961,486.03,139.15
