image,codec,bytes,bpp,enc_ms,dec_ms
kodim01,obsidian-gr,512186,10.4205,328.21,133.81
kodim02,obsidian-gr,457043,9.2986,287.60,123.49
kodim03,obsidian-gr,382698,7.7860,268.62,109.25
kodim04,obsidian-gr,471172,9.5860,275.69,123.85
kodim05,obsidian-gr,565716,11.5095,307.58,141.50
kodim06,obsidian-gr,474540,9.6545,279.67,123.07
kodim07,obsidian-gr,425784,8.6626,281.60,116.28
kodim08,obsidian-gr,562116,11.4363,309.57,143.86
kodim09,obsidian-gr,437880,8.9087,292.88,122.60
kodim10,obsidian-gr,449464,9.1444,272.63,121.21
kodim11,obsidian-gr,460359,9.3660,294.97,120.96
kodim12,obsidian-gr,410831,8.3584,277.27,113.15
kodim13,obsidian-gr,611009,12.4310,310.09,155.21
kodim14,obsidian-gr,515896,10.4959,315.40,141.23
kodim15,obsidian-gr,445139,9.0564,277.30,120.96
kodim16,obsidian-gr,423363,8.6133,288.79,114.66
kodim17,obsidian-gr,441529,8.9829,279.24,118.86
kodim18,obsidian-gr,576200,11.7228,305.89,138.93
kodim19,obsidian-gr,485706,9.8817,276.68,125.92
kodim20,obsidian-gr,376966,7.6694,236.46,102.91
kodim21,obsidian-gr,491209,9.9937,294.06,126.91
kodim22,obsidian-gr,536857,10.9224,296.72,136.45
kodim23,obsidian-gr,433886,8.8274,268.31,122.62
kodim24,obsidian-gr,506075,10.2961,303.20,131.53
kodim01,obsidian-cmarc-safnet,512186,10.4205,296.29,131.39
kodim02,obsidian-cmarc-safnet,457043,9.2986,288.88,120.87
kodim03,obsidian-cmarc-safnet,382698,7.7860,266.38,108.12
kodim04,obsidian-cmarc-safnet,471172,9.5860,274.50,125.03
kodim05,obsidian-cmarc-safnet,565716,11.5095,307.04,141.52
kodim06,obsidian-cmarc-safnet,474540,9.6545,280.53,123.26
kodim07,obsidian-cmarc-safnet,425784,8.6626,279.46,116.12
kodim08,obsidian-cmarc-safnet,562116,11.4363,303.20,140.46
kodim09,obsidian-cmarc-safnet,437880,8.9087,277.62,119.60
kodim10,obsidian-cmarc-safnet,449464,9.1444,267.39,119.80
kodim11,obsidian-cmarc-safnet,460359,9.3660,292.47,121.34
kodim12,obsidian-cmarc-safnet,410831,8.3584,276.70,111.92
kodim13,obsidian-cmarc-safnet,611009,12.4310,307.86,147.11
kodim14,obsidian-cmarc-safnet,515896,10.4959,301.99,132.46
kodim15,obsidian-cmarc-safnet,445139,9.0564,271.66,119.19
kodim16,obsidian-cmarc-safnet,423363,8.6133,289.17,115.42
kodim17,obsidian-cmarc-safnet,441529,8.9829,278.18,119.48
kodim18,obsidian-cmarc-safnet,576200,11.7228,304.09,141.21
kodim19,obsidian-cmarc-safnet,485706,9.8817,273.06,126.28
kodim20,obsidian-cmarc-safnet,376966,7.6694,236.28,102.97
kodim21,obsidian-cmarc-safnet,491209,9.9937,295.67,128.64
kodim22,obsidian-cmarc-safnet,536857,10.9224,297.65,135.10
kodim23,obsidian-cmarc-safnet,433886,8.8274,268.97,119.22
kodim24,obsidian-cmarc-safnet,506075,10.2961,296.06,132.33
kodim01,obsidian-cmarc-safnet+xchan,512186,10.4205,296.46,131.20
kodim02,obsidian-cmarc-safnet+xchan,457043,9.2986,283.92,122.55
kodim03,obsidian-cmarc-safnet+xchan,382698,7.7860,269.76,109.11
kodim04,obsidian-cmarc-safnet+xchan,471172,9.5860,277.05,124.21
kodim05,obsidian-cmarc-safnet+xchan,565716,11.5095,308.42,140.77
kodim06,obsidian-cmarc-safnet+xchan,474540,9.6545,278.94,124.19
kodim07,obsidian-cmarc-safnet+xchan,425784,8.6626,283.65,119.57
kodim08,obsidian-cmarc-safnet+xchan,562116,11.4363,301.29,140.08
kodim09,obsidian-cmarc-safnet+xchan,437880,8.9087,276.15,118.68
kodim10,obsidian-cmarc-safnet+xchan,449464,9.1444,265.58,119.72
kodim11,obsidian-cmarc-safnet+xchan,460359,9.3660,292.76,121.85
kodim12,obsidian-cmarc-safnet+xchan,410831,8.3584,277.14,112.56
kodim13,obsidian-cmarc-safnet+xchan,611009,12.4310,308.79,146.89
kodim14,obsidian-cmarc-safnet+xchan,515896,10.4959,300.32,131.86
kodim15,obsidian-cmarc-safnet+xchan,445139,9.0564,271.51,118.75
kodim16,obsidian-cmarc-safnet+xchan,423363,8.6133,287.80,114.77
kodim17,obsidian-cmarc-safnet+xchan,441529,8.9829,278.13,120.02
kodim18,obsidian-cmarc-safnet+xchan,576200,11.7228,303.45,141.43
kodim19,obsidian-cmarc-safnet+xchan,485706,9.8817,276.20,126.23
kodim20,obsidian-cmarc-safnet+xchan,376966,7.6694,236.04,102.85
kodim21,obsidian-cmarc-safnet+xchan,491209,9.9937,295.76,127.32
kodim22,obsidian-cmarc-safnet+xchan,536857,10.9224,295.36,134.72
kodim23,obsidian-cmarc-safnet+xchan,433886,8.8274,268.94,119.07
kodim24,obsidian-cmarc-safnet+xchan,506075,10.2961,294.89,131.56
kodim01,obsidian-cmarc-force,512186,10.4205,296.12,130.49
kodim02,obsidian-cmarc-force,457043,9.2986,284.55,119.90
kodim03,obsidian-cmarc-force,382698,7.7860,269.73,108.20
kodim04,obsidian-cmarc-force,471172,9.5860,274.78,125.32
kodim05,obsidian-cmarc-force,565716,11.5095,303.59,138.63
kodim06,obsidian-cmarc-force,474540,9.6545,284.06,124.03
kodim07,obsidian-cmarc-force,425784,8.6626,281.56,117.59
kodim08,obsidian-cmarc-force,562116,11.4363,299.18,139.66
kodim09,obsidian-cmarc-force,437880,8.9087,273.76,117.17
kodim10,obsidian-cmarc-force,449464,9.1444,264.64,118.24
kodim11,obsidian-cmarc-force,460359,9.3660,298.52,121.76
kodim12,obsidian-cmarc-force,410831,8.3584,276.82,112.24
kodim13,obsidian-cmarc-force,611009,12.4310,307.35,145.18
kodim14,obsidian-cmarc-force,515896,10.4959,304.30,131.72
kodim15,obsidian-cmarc-force,445139,9.0564,269.23,118.90
kodim16,obsidian-cmarc-force,423363,8.6133,287.23,113.31
kodim17,obsidian-cmarc-force,441529,8.9829,275.21,118.02
kodim18,obsidian-cmarc-force,576200,11.7228,302.75,139.56
kodim19,obsidian-cmarc-force,485706,9.8817,275.32,127.33
kodim20,obsidian-cmarc-force,376966,7.6694,237.62,108.52
kodim21,obsidian-cmarc-force,491209,9.9937,295.03,127.82
kodim22,obsidian-cmarc-force,536857,10.9224,293.38,135.70
kodim23,obsidian-cmarc-force,433886,8.8274,267.48,118.24
kodim24,obsidian-cmarc-force,506075,10.2961,294.11,131.39
kodim01,obsidian-cmarc-force+resctx,512186,10.4205,573.09,130.79
kodim02,obsidian-cmarc-force+resctx,457043,9.2986,558.61,121.06
kodim03,obsidian-cmarc-force+resctx,382698,7.7860,510.50,109.16
kodim04,obsidian-cmarc-force+resctx,471172,9.5860,546.86,123.71
kodim05,obsidian-cmarc-force+resctx,565716,11.5095,607.06,141.71
kodim06,obsidian-cmarc-force+resctx,474540,9.6545,542.19,123.48
kodim07,obsidian-cmarc-force+resctx,425784,8.6626,534.54,117.52
kodim08,obsidian-cmarc-force+resctx,562116,11.4363,597.77,138.63
kodim09,obsidian-cmarc-force+resctx,437880,8.9087,533.84,117.97
kodim10,obsidian-cmarc-force+resctx,449464,9.1444,532.60,126.60
kodim11,obsidian-cmarc-force+resctx,460359,9.3660,547.60,119.90
kodim12,obsidian-cmarc-force+resctx,410831,8.3584,520.36,110.98
kodim13,obsidian-cmarc-force+resctx,611009,12.4310,607.39,147.62
kodim14,obsidian-cmarc-force+resctx,515896,10.4959,578.73,131.19
kodim15,obsidian-cmarc-force+resctx,445139,9.0564,526.17,118.77
kodim16,obsidian-cmarc-force+resctx,423363,8.6133,535.25,113.95
kodim17,obsidian-cmarc-force+resctx,441529,8.9829,549.45,117.46
kodim18,obsidian-cmarc-force+resctx,576200,11.7228,592.45,140.56
kodim19,obsidian-cmarc-force+resctx,485706,9.8817,546.20,124.74
kodim20,obsidian-cmarc-force+resctx,376966,7.6694,454.74,102.70
kodim21,obsidian-cmarc-force+resctx,491209,9.9937,566.52,126.26
kodim22,obsidian-cmarc-force+resctx,536857,10.9224,584.49,134.18
kodim23,obsidian-cmarc-force+resctx,433886,8.8274,523.61,118.00
kodim24,obsidian-cmarc-force+resctx,506075,10.2961,584.56,129.74
kodim01,obsidian-r3c-run-force,513267,10.4424,470.01,152.41
kodim02,obsidian-r3c-run-force,457743,9.3128,452.98,145.19
kodim03,obsidian-r3c-run-force,386688,7.8672,413.23,127.73
