image,codec,bytes,bpp,enc_ms,dec_ms
kodim01,obsidian-gr,525675,10.6949,137.37,68.05
kodim02,obsidian-gr,477090,9.7064,135.84,67.55
kodim03,obsidian-gr,419741,8.5397,137.67,63.34
kodim04,obsidian-gr,493007,10.0303,128.33,68.77
kodim05,obsidian-gr,569575,11.5880,142.11,72.47
kodim06,obsidian-gr,493855,10.0475,129.99,66.16
kodim07,obsidian-gr,447700,9.1085,134.01,64.11
kodim08,obsidian-gr,569060,11.5776,134.19,73.53
kodim09,obsidian-gr,461053,9.3801,131.10,66.85
kodim10,obsidian-gr,470011,9.5624,126.06,68.96
kodim11,obsidian-gr,483386,9.8345,143.06,68.11
kodim12,obsidian-gr,439457,8.9408,135.34,65.44
kodim13,obsidian-gr,615463,12.5216,132.15,73.16
kodim14,obsidian-gr,525478,10.6909,137.49,69.01
kodim15,obsidian-gr,469154,9.5450,130.11,67.15
kodim16,obsidian-gr,450823,9.1720,140.43,64.17
kodim17,obsidian-gr,468940,9.5406,130.54,65.75
kodim18,obsidian-gr,574311,11.6844,133.07,73.63
kodim19,obsidian-gr,503730,10.2484,125.66,67.79
kodim20,obsidian-gr,422402,8.5938,113.50,59.82
kodim21,obsidian-gr,507594,10.3270,137.66,68.29
kodim22,obsidian-gr,540040,10.9871,132.82,72.54
kodim23,obsidian-gr,451099,9.1776,124.27,66.40
kodim24,obsidian-gr,524762,10.6763,138.79,69.52
kodim01,obsidian-cmarc-safnet,510653,10.3893,251.69,116.23
kodim02,obsidian-cmarc-safnet,457043,9.2986,241.40,109.26
kodim03,obsidian-cmarc-safnet,392176,7.9788,228.78,101.99
kodim04,obsidian-cmarc-safnet,483617,9.8392,239.06,112.38
kodim05,obsidian-cmarc-safnet,564603,11.4869,264.92,123.92
kodim06,obsidian-cmarc-safnet,474540,9.6545,238.22,110.90
kodim07,obsidian-cmarc-safnet,428640,8.7207,238.20,104.75
kodim08,obsidian-cmarc-safnet,565028,11.4955,258.77,123.32
kodim09,obsidian-cmarc-safnet,439768,8.9471,233.42,106.24
kodim10,obsidian-cmarc-safnet,453439,9.2252,230.09,107.81
kodim11,obsidian-cmarc-safnet,463898,9.4380,248.51,110.01
kodim12,obsidian-cmarc-safnet,418197,8.5082,234.05,101.94
kodim13,obsidian-cmarc-safnet,610271,12.4160,264.81,128.53
kodim14,obsidian-cmarc-safnet,515896,10.4959,252.79,116.25
kodim15,obsidian-cmarc-safnet,457377,9.3054,238.77,108.29
kodim16,obsidian-cmarc-safnet,423775,8.6217,240.14,102.07
kodim17,obsidian-cmarc-safnet,448333,9.1214,236.79,109.68
kodim18,obsidian-cmarc-safnet,572313,11.6437,256.76,124.47
kodim19,obsidian-cmarc-safnet,487353,9.9152,236.98,111.41
kodim20,obsidian-cmarc-safnet,376966,7.6694,205.21,92.71
kodim21,obsidian-cmarc-safnet,491209,9.9937,249.39,111.75
kodim22,obsidian-cmarc-safnet,535879,10.9025,250.89,119.61
kodim23,obsidian-cmarc-safnet,433864,8.8270,228.90,104.80
kodim24,obsidian-cmarc-safnet,506075,10.2961,254.46,115.81
kodim01,obsidian-cmarc-safnet+xchan,512186,10.4205,254.11,114.60
kodim02,obsidian-cmarc-safnet+xchan,457043,9.2986,242.46,108.34
kodim03,obsidian-cmarc-safnet+xchan,382698,7.7860,229.44,96.06
kodim04,obsidian-cmarc-safnet+xchan,471172,9.5860,235.37,108.93
kodim05,obsidian-cmarc-safnet+xchan,565716,11.5095,263.15,124.26
kodim06,obsidian-cmarc-safnet+xchan,474540,9.6545,239.50,108.56
kodim07,obsidian-cmarc-safnet+xchan,425784,8.6626,240.78,102.87
kodim08,obsidian-cmarc-safnet+xchan,562116,11.4363,258.57,123.26
kodim09,obsidian-cmarc-safnet+xchan,437880,8.9087,234.93,103.83
kodim10,obsidian-cmarc-safnet+xchan,449464,9.1444,227.58,105.64
kodim11,obsidian-cmarc-safnet+xchan,460359,9.3660,248.71,106.61
kodim12,obsidian-cmarc-safnet+xchan,410831,8.3584,234.73,99.30
kodim13,obsidian-cmarc-safnet+xchan,611009,12.4310,265.40,127.67
kodim14,obsidian-cmarc-safnet+xchan,515896,10.4959,255.43,115.70
kodim15,obsidian-cmarc-safnet+xchan,445139,9.0564,231.91,104.49
kodim16,obsidian-cmarc-safnet+xchan,423363,8.6133,242.85,100.60
kodim17,obsidian-cmarc-safnet+xchan,441529,8.9829,234.26,104.64
kodim18,obsidian-cmarc-safnet+xchan,576200,11.7228,260.66,123.43
kodim19,obsidian-cmarc-safnet+xchan,485706,9.8817,234.09,110.82
