cell_id,pooler,workload,clients,pool_size,protocol,churn,duration_s,n,status,tps_median,tps_min,tps_max,tps_cv,p50_ms,p90_ms,p99_ms,p999_ms
M10-S1,direct,select-only,100,10,simple,False,1800,3,measured,23247.443376,23199.031128,23752.506947,0.013099816082980277,,,,
M10-S1,odyssey,select-only,100,10,simple,False,3600,3,measured,11216.856668,11196.1105,11256.049564,0.002712192340561094,,,,
M10-S1,pgagroal,select-only,100,10,simple,False,1800,3,measured,1820.922519,1692.365536,2314.256292,0.16900352586467562,2.102,7.219,55.83831999999984,330.00626999999304
M10-S1,pgbouncer,select-only,100,10,simple,False,3600,3,measured,26657.160698,26475.258398,26787.076249,0.005879524214427571,,,,
M10-S1,pgcat,select-only,100,10,simple,False,1800,3,measured,18717.873345,18706.391501,18729.472062,0.0006165393677862479,,,,
M10-S1,pgpool,select-only,100,10,simple,False,1800,3,measured,37143.053253,36954.243461,37675.043924,0.010032043152216886,,,,
M10-S2,direct,select-only,200,10,simple,False,3600,3,timeout/inconclusive,,,,,,,,
M10-S2,odyssey,select-only,200,10,simple,False,3600,3,measured,11344.994858,11331.159589,11360.964579,0.0013146142822339497,,,,
M10-S2,pgagroal,select-only,200,10,simple,False,3600,3,measured,1408.089415,1258.664133,1686.200047,0.14953414580980262,5.512,10.037,35.13303000000026,63.48920600000024
M10-S2,pgbouncer,select-only,200,10,simple,False,1800,3,measured,45606.046406,45532.602919,45867.570085,0.0038552450852911914,,,,
M10-S2,pgcat,select-only,200,10,simple,False,1800,3,measured,18819.659952,18519.837331,18825.436693,0.009336473454046531,,,,
M10-S2,pgpool,select-only,200,10,simple,False,1800,3,timeout/inconclusive,,,,,,,,
M10-S3,direct,select-only,100,10,simple,True,1800,3,measured,261.914056,261.844289,263.336023,0.00320864732574092,174.451,399.40549999999996,514.1944000000001,637.7003099999981
M10-S3,odyssey,select-only,100,10,simple,True,1800,3,measured,6460.874565,6441.500153,6469.114051,0.002195419153002817,7.608,13.503,17.403,20.24
M10-S3,pgagroal,select-only,100,10,simple,True,1800,3,timeout/inconclusive,,,,,,,,
M10-S3,pgbouncer,select-only,100,10,simple,True,1800,3,measured,396.954385,395.638393,399.816151,0.005374017449590384,125.899,224.394,253.14787000000013,271.11718800000057
M10-S3,pgcat,select-only,100,10,simple,True,1800,3,measured,5732.222936,5707.011456,5770.709557,0.005591902272095421,8.685,15.026,18.189,19.801
M10-S3,pgpool,select-only,100,10,simple,True,3600,3,measured,208.565865,208.417756,208.628558,0.0005190760386704714,236.922,449.73299999999995,525.3755800000004,573.1824919999987
