cell_id,pooler,workload,clients,pool_size,protocol,churn,duration_s,n,status,tps_median,tps_min,tps_max,tps_cv,p50_ms,p90_ms,p99_ms,p999_ms
M1-1,direct,select-only,100,10,simple,False,120,10,measured,22775.387531,21382.398813,23950.290205,0.03759523194810868,4.144,5.7965,20.177,28.12778400000022
M1-1,odyssey,select-only,100,10,simple,False,120,10,measured,11168.1028735,10999.051969,13221.593622,0.07524792825805238,8.9025,9.281,10.499500000000001,12.0105
M1-1,pgagroal,select-only,100,10,simple,False,120,10,measured,1717.062523,1230.42775,2166.852051,0.1842457764234946,2.3625,7.241449999999997,64.71455999999998,620.2475520000106
M1-1,pgbouncer,select-only,100,10,simple,False,120,10,measured,16882.766694500002,16613.469179,20912.476352,0.09421552701564186,5.814,6.544,7.6129999999999995,8.511136500000024
M1-1,pgcat,select-only,100,10,simple,False,120,10,measured,19208.0855325,19023.709603,22248.611069,0.06342918625805893,5.109,5.771000000000001,6.907,8.624520999999948
M1-1,pgpool,select-only,100,10,simple,False,120,10,measured,14679.347552,14111.810743,17443.129697,0.08108139915279089,6.0145,12.2355,25.875429999999934,38.478112499999924
M1-2,direct,tpcb-like,50,10,simple,False,120,10,measured,3427.0088180000002,2580.681705,6060.439618,0.3179200428166142,9.8865,27.243000000000002,60.49649000000002,104.39381900000092
M1-2,odyssey,tpcb-like,50,10,simple,False,120,10,measured,2762.05138,2129.651601,4904.260557,0.3104044475454073,15.044,19.8825,22.665999999999997,49.12312499999989
M1-2,pgagroal,tpcb-like,50,10,simple,False,120,10,measured,1234.2196885,120.478816,1683.014158,0.6844711804249711,7.35,12.124800000000004,27.382564999999985,100.99680599999624
M1-2,pgbouncer,tpcb-like,50,10,simple,False,120,10,measured,2581.6439705000003,2094.12195,4585.100236,0.2941303188758253,16.2425,21.223,23.93647999999998,57.21070699999959
M1-2,pgcat,tpcb-like,50,10,simple,False,120,10,measured,2686.7557185,2533.082303,4109.001723,0.19253981567826597,16.249000000000002,19.18,26.803624999999997,56.976554999998825
M1-2,pgpool,tpcb-like,50,10,simple,False,120,10,measured,2475.7087375,2225.300639,4393.135066,0.280880762890495,13.575,37.604,85.49203999999997,141.43909400000183
M1-3,direct,tpcb-like,50,10,prepared,False,60,7,measured,4071.756726,2649.531744,4519.74911,0.18481043305671235,5.933,24.411600000000007,135.62000000000035,318.5596100000008
M1-3,odyssey,tpcb-like,50,10,prepared,False,60,7,timeout/inconclusive,,,,,,,,
M1-3,pgagroal,tpcb-like,50,10,prepared,False,60,7,timeout/inconclusive,,,,,,,,
M1-3,pgbouncer,tpcb-like,50,10,prepared,False,60,7,timeout/inconclusive,,,,,,,,
