R2_SWEEP,T_ESC,effort,image,zff_bytes,hyb_bytes,delta_pct,zff_bpp,hyb_bpp,model_bpp,zff_decode_ms,hyb_decode_ms
R2_SWEEP,4,3,kodim01.ppm,538244,546364,1.50861,3.6502,3.70527,0,152.077,149.937
R2_SWEEP,4,3,kodim05.ppm,586481,599601,2.23707,3.97733,4.0663,0,164.19,161.873
R2_SWEEP,4,3,kodim13.ppm,641348,660027,2.91246,4.34942,4.47609,0,174.964,171.023
R2_SWEEP,4,3,kodim19.ppm,509287,509931,0.126451,3.45382,3.45819,0,143.614,143.09
R2_SUMMARY,4,3,median_delta,2.23707,total_delta,1.78271,worst_delta,2.91246,avg_model_bpp,0,decode_ratio,0.985946
R2_SWEEP,4,5,kodim01.ppm,538244,546364,1.50861,3.6502,3.70527,0,152.34,149.178
R2_SWEEP,4,5,kodim05.ppm,586481,599601,2.23707,3.97733,4.0663,0,164.33,161.596
R2_SWEEP,4,5,kodim13.ppm,641348,660027,2.91246,4.34942,4.47609,0,174.789,172.756
R2_SWEEP,4,5,kodim19.ppm,509287,509931,0.126451,3.45382,3.45819,0,143.784,142.732
R2_SUMMARY,4,5,median_delta,2.23707,total_delta,1.78271,worst_delta,2.91246,avg_model_bpp,0,decode_ratio,0.985861
R2_SWEEP,4,7,kodim01.ppm,538244,546364,1.50861,3.6502,3.70527,0,152.131,148.916
R2_SWEEP,4,7,kodim05.ppm,586481,599601,2.23707,3.97733,4.0663,0,163.867,162.114
R2_SWEEP,4,7,kodim13.ppm,641348,660027,2.91246,4.34942,4.47609,0,174.818,171.256
R2_SWEEP,4,7,kodim19.ppm,509287,509931,0.126451,3.45382,3.45819,0,144.121,142.657
R2_SUMMARY,4,7,median_delta,2.23707,total_delta,1.78271,worst_delta,2.91246,avg_model_bpp,0,decode_ratio,0.984261
R2_SWEEP,8,3,kodim01.ppm,538244,551548,2.47174,3.6502,3.74042,0,152.232,157.399
R2_SWEEP,8,3,kodim05.ppm,586481,595807,1.59016,3.97733,4.04057,0,164.385,170.322
R2_SWEEP,8,3,kodim13.ppm,641348,657718,2.55244,4.34942,4.46044,0,175.063,179.36
R2_SWEEP,8,3,kodim19.ppm,509287,512553,0.641289,3.45382,3.47597,0,143.708,152.363
R2_SUMMARY,8,3,median_delta,2.47174,total_delta,1.85755,worst_delta,2.55244,avg_model_bpp,0,decode_ratio,1.03786
R2_SWEEP,8,5,kodim01.ppm,538244,551548,2.47174,3.6502,3.74042,0,151.988,157.397
R2_SWEEP,8,5,kodim05.ppm,586481,595807,1.59016,3.97733,4.04057,0,164.392,170.407
R2_SWEEP,8,5,kodim13.ppm,641348,657718,2.55244,4.34942,4.46044,0,174.904,180.57
R2_SWEEP,8,5,kodim19.ppm,509287,512553,0.641289,3.45382,3.47597,0,143.678,152.805
R2_SUMMARY,8,5,median_delta,2.47174,total_delta,1.85755,worst_delta,2.55244,avg_model_bpp,0,decode_ratio,1.04129
R2_SWEEP,8,7,kodim01.ppm,538244,551548,2.47174,3.6502,3.74042,0,152.147,157.679
R2_SWEEP,8,7,kodim05.ppm,586481,595807,1.59016,3.97733,4.04057,0,164.505,170.159
R2_SWEEP,8,7,kodim13.ppm,641348,657718,2.55244,4.34942,4.46044,0,177.183,179.222
R2_SWEEP,8,7,kodim19.ppm,509287,512553,0.641289,3.45382,3.47597,0,143.805,152.793
R2_SUMMARY,8,7,median_delta,2.47174,total_delta,1.85755,worst_delta,2.55244,avg_model_bpp,0,decode_ratio,1.03484
R2_SWEEP,16,3,kodim01.ppm,538244,549384,2.06969,3.6502,3.72575,0,152.064,166.412
R2_SWEEP,16,3,kodim05.ppm,586481,594966,1.44676,3.97733,4.03487,0,164.201,183.654
R2_SWEEP,16,3,kodim13.ppm,641348,652864,1.79559,4.34942,4.42752,0,174.86,189.487
R2_SWEEP,16,3,kodim19.ppm,509287,515516,1.22308,3.45382,3.49607,0,143.817,163.954
R2_SUMMARY,16,3,median_delta,1.79559,total_delta,1.64238,worst_delta,2.06969,avg_model_bpp,0,decode_ratio,1.10798
R2_SWEEP,16,5,kodim01.ppm,538244,549384,2.06969,3.6502,3.72575,0,151.884,165.702
R2_SWEEP,16,5,kodim05.ppm,586481,594966,1.44676,3.97733,4.03487,0,163.968,181.317
R2_SWEEP,16,5,kodim13.ppm,641348,652864,1.79559,4.34942,4.42752,0,175.017,189.282
R2_SWEEP,16,5,kodim19.ppm,509287,515516,1.22308,3.45382,3.49607,0,143.724,163.518
R2_SUMMARY,16,5,median_delta,1.79559,total_delta,1.64238,worst_delta,2.06969,avg_model_bpp,0,decode_ratio,1.10279
R2_SWEEP,16,7,kodim01.ppm,538244,549384,2.06969,3.6502,3.72575,0,151.845,166.025
R2_SWEEP,16,7,kodim05.ppm,586481,594966,1.44676,3.97733,4.03487,0,164.248,182.685
R2_SWEEP,16,7,kodim13.ppm,641348,652864,1.79559,4.34942,4.42752,0,174.841,189.14
R2_SWEEP,16,7,kodim19.ppm,509287,515516,1.22308,3.45382,3.49607,0,145.451,163.579
R2_SUMMARY,16,7,median_delta,1.79559,total_delta,1.64238,worst_delta,2.06969,avg_model_bpp,0,decode_ratio,1.10221

R2_GATE,primary,16,3,median_delta,1.79559,threshold,-0.5,FAIL
R2_GATE,R2-1a,16,3,avg_model_bpp,0,threshold,0.01,PASS
R2_GATE,R2-1b,16,3,worst_delta,2.06969,threshold,-1.0,PASS
R2_GATE,R2-1c,16,3,decode_ratio,1.10798,threshold,1.5,PASS

R2_VERDICT,FAIL,best_T_ESC,16,best_effort,3,best_median_delta,1.79559,avg_model_bpp,0,worst_delta,2.06969,decode_ratio,1.10798
