date,route,image,T_ESC,zff_bytes,hyb_bytes,delta_pct,roundtrip
2026-08-27,R2-0,kodim01.ppm,4,538244,546364,1.50861,PASS
2026-08-27,R2-0,kodim02.ppm,4,486782,475252,-2.36862,PASS
2026-08-27,R2-0,kodim03.ppm,4,405274,413325,1.98656,PASS
2026-08-27,R2-0,kodim04.ppm,4,483434,485421,0.411018,PASS
2026-08-27,R2-0,kodim01.ppm,8,538244,551548,2.47174,PASS
2026-08-27,R2-0,kodim02.ppm,8,486782,482140,-0.95361,PASS
2026-08-27,R2-0,kodim03.ppm,8,405274,419355,3.47444,PASS
2026-08-27,R2-0,kodim04.ppm,8,483434,484939,0.311314,PASS
2026-08-27,R2-0,kodim01.ppm,16,538244,549384,2.06969,PASS
2026-08-27,R2-0,kodim02.ppm,16,486782,491254,0.918686,PASS
2026-08-27,R2-0,kodim03.ppm,16,405274,424613,4.77183,PASS
2026-08-27,R2-0,kodim04.ppm,16,483434,489705,1.29718,PASS
